applications,m_time,m_energy,e_time,e_energy,c_time,c_energy
"{'data': 440000.0, 'cpu_cycle': 4591400000.0, 'delay_tolerance': 3}",4.5914,45.914,1.9731596638655462,13.01956,1.9132301832323289,13.65135395839496
"{'data': 850.0, 'cpu_cycle': 21544100.0, 'delay_tolerance': 3}",0.0215441,0.215441,0.009137142857142858,12.937658525,0.5206795956465841,13.895174197047545
"{'data': 15150000.0, 'cpu_cycle': 682401450000.0, 'delay_tolerance': 3}",682.40145,6824.0145,288.2382983193277,15.762975,229.48132291426174,16.693932485098138
"{'data': 2150.0, 'cpu_cycle': 73641800.0, 'delay_tolerance': 3}",0.0736418,0.736418,0.031156932773109245,12.937900975,0.4552691100546064,13.740796237918508
"{'data': 1550000.0, 'cpu_cycle': 84681150000.0, 'delay_tolerance': 3}",84.68115,846.8115,35.73531512605042,13.226575,28.56365164898098,13.565262075349528
"{'data': 1550000.0, 'cpu_cycle': 62472750000.0, 'delay_tolerance': 3}",62.47275,624.7275,26.40405462184874,13.226575,21.28177951348982,13.790792542658517
"{'data': 1550000.0, 'cpu_cycle': 53524600000.0, 'delay_tolerance': 3}",53.5246,535.246,22.64432773109244,13.226575,18.30151170087679,13.795359655468546
