Step,Value
5900,-79.65199392772753
5950,-78.72931186621838
6000,-80.9437024221686
6050,-78.40059040493477
6100,-79.69779734024316
6150,-79.24906933658683
6200,-80.19554128105095
6250,-79.07270508615062
6300,-77.70546769301127
6350,-78.09618694501793
6400,-81.05533045326186
6450,-79.64319680634962
6500,-78.51675095686444
6550,-78.33372847301177
6600,-78.08710924734655
6650,-77.2144024420095
6700,-77.96198429922696
6750,-78.7779348264773
6800,-78.78628533635586
6850,-79.42418175736272
6900,-78.19666601210983
6950,-82.08440205579325
7000,-77.71396394779116
7050,-78.69081314188155
7100,-82.08662445349012
7150,-77.72811828846102
7200,-78.40806084000715
7250,-78.35437140756557
7300,-78.7742748349111
7350,-78.73933305038906
7400,-78.70944348259326
7450,-81.27122721354418
7500,-78.13924525118489
7550,-79.4725940327478
7600,-78.34785754375369
7650,-79.28742763884466
7700,-82.20855874813428
7750,-79.43778097093097
7800,-78.52327828475731
7850,-77.77104073487402
7900,-77.36880549131428
7950,-78.18001382252127
8000,-78.82308930244518
8050,-78.72153882587222
8100,-79.13260713856566
8150,-77.33240533113658
8200,-80.54182145427478
8250,-79.88509097319104
8300,-78.611513080095
8350,-79.54317221810388
8400,-81.36620236254603
8450,-77.83408461034473
8500,-79.23871616741266
8550,-78.64314127790558
8600,-81.54141371836202
8650,-78.26976720806903
8700,-79.85575298526729
8750,-80.93413871313302
8800,-79.24092211836523
8850,-78.65633586441521
8900,-78.87622276894925
8950,-81.96923169284257
9000,-77.80157088631685
9050,-77.69890233810044
9100,-77.90495417990336
9150,-79.5134819477896
9200,-78.40412431075644
9250,-81.0924744715346
9300,-79.34600339521232
9350,-78.83465392169178
9400,-79.12054830099903
9450,-77.6416404235975
9500,-81.48329366315062
9550,-81.38898432086255
9600,-79.0077811956234
9650,-78.43541262472527
9700,-77.67855449233569
9750,-77.81921443786459
9800,-78.38677169515532
9850,-80.33203414032182
9900,-79.44997206211258
9950,-78.26121663368974
10000,-78.55206304032355
10050,-79.8026184742551
10100,-81.21599664202712
10150,-82.47536887562727
10200,-80.00596168491083
10250,-78.50051116182806
10300,-78.04934680433519
10350,-77.72264071804435
10400,-79.18130899480586
10450,-78.01688950501214
10500,-77.85341709093206
10550,-78.44418773940902
10600,-77.87387681956535
10650,-78.81556975845587
10700,-79.62504459784851
10750,-77.94805538211597
10800,-81.99504195474191
10850,-79.80956395223829
10900,-78.55336991862261
