Step,Value
10700,-325.29867326014335
10750,-292.5664446852242
10800,-261.7919348039878
10850,-259.2313873213106
10900,-293.4717484475922
10950,-294.46342663340556
11000,-274.4359783576363
11050,-263.5821749158149
11100,-258.5662478703765
11150,-337.54962425021176
11200,-301.423108841972
11250,-289.3144257099018
11300,-244.63090550212598
11350,-275.0311533774637
11400,-348.4526738877778
11450,-287.99321198192393
11500,-293.8092866130087
11550,-293.61180324473804
11600,-297.1252390427072
11650,-242.25137674095342
11700,-270.88186167097405
11750,-256.957308300921
11800,-293.4856723267466
11850,-401.06300327584773
11900,-278.8299509785378
11950,-277.1389453225428
12000,-305.5690694925141
12050,-268.7831809087384
12100,-280.57809047207115
12150,-260.07841180952306
12200,-279.5857728298219
12250,-321.02060486239753
12300,-263.1857551358447
12350,-270.89524129872126
12400,-298.7250537449689
12450,-274.68886575469617
12500,-257.7277588600687
12550,-232.62263686396312
12600,-293.23670688685735
12650,-315.16735263705027
12700,-330.44580478303783
12750,-265.4344796387061
12800,-254.04971202729158
12850,-336.5716737047045
12900,-309.9096327757302
12950,-318.94046068404987
13000,-280.8013568706598
13050,-291.79399663375295
13100,-271.16574515594317
13150,-258.49677603144397
13200,-374.7408861804511
13250,-303.9410712747856
13300,-291.2178036674818
13350,-284.1170171407464
13400,-279.0711304672024
13450,-330.8419878077392
13500,-271.5931110134876
13550,-296.89200714921475
13600,-319.7718778138281
13650,-247.12501730368257
13700,-295.1599214486174
13750,-280.99165564901716
13800,-300.2006061602737
13850,-337.76370221061086
13900,-284.61112331512453
13950,-306.0634294255415
14000,-360.16596854905407
14050,-258.78581117535924
14100,-277.7798095417023
14150,-282.9235768618625
14200,-345.5181165588874
14250,-248.63382602090522
14300,-338.27327455024425
14350,-270.99056425967615
14400,-390.439849406179
14450,-272.4152057387587
14500,-291.3449609507458
14550,-345.82793918284517
14600,-276.6587055679122
14650,-241.6042967216423
14700,-338.5486606707684
14750,-259.10744485343605
14800,-301.3344869113828
14850,-328.56879040916914
14900,-284.6073145847133
14950,-350.9530731386226
15000,-278.77567634059415
15050,-345.73287536403717
15100,-230.6600700590929
15150,-301.95447785958174
15200,-330.4730903320568
15250,-397.95812074209556
15300,-244.05161753749238
15350,-348.1992273655284
15400,-281.912692183396
15450,-282.16899275040373
15500,-296.94260669687793
15550,-257.4553420530985
15600,-366.9644363748481
15650,-279.3666241961695
15700,-286.97951787377167
15750,-326.86978562240097
15800,-272.52384304957764
15850,-385.4682213165531
15900,-313.4030828945857
15950,-328.65196536241734
16000,-270.69691164351514
16050,-275.5199993202534
16100,-259.9470875112095
16150,-287.9506276816118
16200,-336.3408798040571
16250,-265.54076828349514
16300,-334.6361743291093
16350,-229.34998475669815
16400,-281.79945537117436
16450,-285.7307735455312
16500,-369.3756354060454
16550,-229.9747394615852
16600,-309.00614845256047
16650,-264.6804067654081
16700,-295.25151282441743
16750,-281.77261669150244
16800,-306.50012943735567
16850,-281.4340250128524
16900,-290.8951683885946
16950,-331.7085870497712
17000,-298.611793935835
17050,-345.7312333030421
17100,-304.94010231750264
17150,-299.1569519201603
17200,-384.98704917265576
17250,-284.1763070783047
17300,-267.11681383755166
17350,-286.9787651954903
17400,-274.20344302817716
17450,-288.411838501113
17500,-288.4599266767159
17550,-296.74666016051816
17600,-314.4098617622912
17650,-255.362011598226
17700,-239.78538883112083
17750,-254.3030933787569
17800,-288.6466758470708
17850,-283.15702664165923
17900,-314.15414874208
17950,-259.4494412769384
18000,-350.78801014629136
18050,-267.98169922214714
18100,-301.58166242278656
18150,-329.29815090511977
18200,-253.6134158991808
18250,-280.20436076550357
18300,-322.4520888903706
18350,-255.6727933139943
